epoch,lr,loss,psnr_in,psnr_out
1,0.10000000,0.009541,18.1085,22.5917
2,0.08685114,0.002927,18.1054,25.3599
3,0.07543120,0.002550,18.1152,25.9500
4,0.06551286,0.002398,18.1088,26.2181
5,0.05689866,0.002311,18.1130,26.3780
6,0.04941713,0.002243,18.1082,26.5076
7,0.04291934,0.002201,18.1127,26.5911
8,0.03727594,0.002164,18.1096,26.6633
9,0.03237458,0.002126,18.1136,26.7411
10,0.02811769,0.002096,18.1079,26.8023
11,0.02442053,0.002072,18.0987,26.8511
12,0.02120951,0.002048,18.1136,26.9034
13,0.01842070,0.002032,18.1046,26.9382
14,0.01599859,0.002014,18.1140,26.9755
15,0.01389495,0.002001,18.1081,27.0026
16,0.01206793,0.001986,18.1126,27.0366
17,0.01048113,0.001983,18.1038,27.0423
18,0.00910298,0.001971,18.1037,27.0694
19,0.00790604,0.001966,18.1012,27.0823
20,0.00686649,0.001957,18.1056,27.0996
21,0.00596362,0.001950,18.1111,27.1165
22,0.00517947,0.001949,18.0976,27.1192
23,0.00449843,0.001936,18.1247,27.1466
24,0.00390694,0.001936,18.1129,27.1483
25,0.00339322,0.001938,18.1015,27.1431
26,0.00294705,0.001931,18.1023,27.1596
27,0.00255955,0.001930,18.1014,27.1620
28,0.00222300,0.001926,18.0955,27.1708
29,0.00193070,0.001921,18.1101,27.1833
30,0.00167683,0.001920,18.1072,27.1843
31,0.00145635,0.001923,18.0957,27.1774
32,0.00126486,0.001917,18.1021,27.1908
33,0.00109854,0.001920,18.1080,27.1849
34,0.00095410,0.001916,18.1041,27.1919
35,0.00082864,0.001916,18.1078,27.1925
36,0.00071969,0.001916,18.1115,27.1939
37,0.00062506,0.001913,18.1036,27.1997
38,0.00054287,0.001907,18.1154,27.2141
39,0.00047149,0.001917,18.1084,27.1908
40,0.00040949,0.001911,18.1086,27.2040
41,0.00035565,0.001913,18.0977,27.2006
42,0.00030888,0.001911,18.1025,27.2050
43,0.00026827,0.001913,18.1083,27.2011
44,0.00023300,0.001911,18.1079,27.2048
45,0.00020236,0.001911,18.1175,27.2035
46,0.00017575,0.001911,18.1111,27.2062
47,0.00015264,0.001913,18.1065,27.2015
48,0.00013257,0.001915,18.1094,27.1950
49,0.00011514,0.001909,18.1090,27.2080
50,0.00010000,0.001913,18.1092,27.1998
 
