epoch,lr,loss,psnr_in,psnr_out
1,0.10000000,0.013369,20.1720,22.5445
2,0.08685114,0.003223,20.1722,24.9292
3,0.07543120,0.002691,20.1722,25.7076
4,0.06551286,0.002413,20.1722,26.1797
5,0.05689866,0.002263,20.1719,26.4581
6,0.04941713,0.002174,20.1722,26.6317
7,0.04291934,0.002120,20.1719,26.7427
8,0.03727594,0.002081,20.1715,26.8222
9,0.03237458,0.002045,20.1722,26.8980
10,0.02811769,0.002021,20.1719,26.9503
11,0.02442053,0.002001,20.1715,26.9937
12,0.02120951,0.001986,20.1724,27.0259
13,0.01842070,0.001974,20.1721,27.0532
14,0.01599859,0.001961,20.1724,27.0816
15,0.01389495,0.001950,20.1722,27.1059
16,0.01206793,0.001947,20.1721,27.1127
17,0.01048113,0.001937,20.1718,27.1344
18,0.00910298,0.001935,20.1718,27.1409
19,0.00790604,0.001924,20.1719,27.1650
20,0.00686649,0.001932,20.1720,27.1453
21,0.00596362,0.001924,20.1713,27.1650
22,0.00517947,0.001915,20.1718,27.1846
23,0.00449843,0.001913,20.1720,27.1901
24,0.00390694,0.001913,20.1719,27.1892
25,0.00339322,0.001911,20.1715,27.1931
26,0.00294705,0.001903,20.1721,27.2120
27,0.00255955,0.001908,20.1717,27.1995
28,0.00222300,0.001901,20.1716,27.2162
29,0.00193070,0.001904,20.1715,27.2086
30,0.00167683,0.001906,20.1720,27.2062
31,0.00145635,0.001898,20.1714,27.2239
32,0.00126486,0.001903,20.1723,27.2124
33,0.00109854,0.001896,20.1719,27.2282
34,0.00095410,0.001898,20.1722,27.2228
35,0.00082864,0.001903,20.1720,27.2125
36,0.00071969,0.001893,20.1719,27.2343
37,0.00062506,0.001900,20.1723,27.2203
38,0.00054287,0.001897,20.1717,27.2262
39,0.00047149,0.001894,20.1724,27.2317
40,0.00040949,0.001902,20.1721,27.2150
41,0.00035565,0.001900,20.1719,27.2177
42,0.00030888,0.001899,20.1726,27.2226
43,0.00026827,0.001895,20.1716,27.2299
44,0.00023300,0.001899,20.1726,27.2209
45,0.00020236,0.001900,20.1715,27.2183
46,0.00017575,0.001897,20.1720,27.2257
47,0.00015264,0.001895,20.1726,27.2308
48,0.00013257,0.001894,20.1717,27.2324
49,0.00011514,0.001894,20.1716,27.2333
50,0.00010000,0.001897,20.1717,27.2257
