# log for DnCNN-B -30 epochs

Loading training files from: data/Train400
Found 400 training files
Created dataset with 384000 samples (DnCNN-B: 384,000 patches)
Using device: cuda
Starting training...
Epoch 001/30 | LR 1.00e-01 | MSE 0.009678 | Batches: 3000
Epoch 002/30 | LR 7.88e-02 | MSE 0.003032 | Batches: 3000
Epoch 003/30 | LR 6.21e-02 | MSE 0.002599 | Batches: 3000
Epoch 004/30 | LR 4.89e-02 | MSE 0.002430 | Batches: 3000
Epoch 005/30 | LR 3.86e-02 | MSE 0.002350 | Batches: 3000
Epoch 006/30 | LR 3.04e-02 | MSE 0.002284 | Batches: 3000
Epoch 007/30 | LR 2.40e-02 | MSE 0.002242 | Batches: 3000
Epoch 008/30 | LR 1.89e-02 | MSE 0.002209 | Batches: 3000
Epoch 009/30 | LR 1.49e-02 | MSE 0.002190 | Batches: 3000
Epoch 010/30 | LR 1.17e-02 | MSE 0.002175 | Batches: 3000
Epoch 011/30 | LR 9.24e-03 | MSE 0.002154 | Batches: 3000
Epoch 012/30 | LR 7.28e-03 | MSE 0.002140 | Batches: 3000
Epoch 013/30 | LR 5.74e-03 | MSE 0.002131 | Batches: 3000
Epoch 014/30 | LR 4.52e-03 | MSE 0.002121 | Batches: 3000
Epoch 015/30 | LR 3.56e-03 | MSE 0.002118 | Batches: 3000
Epoch 016/30 | LR 2.81e-03 | MSE 0.002121 | Batches: 3000
Epoch 017/30 | LR 2.21e-03 | MSE 0.002119 | Batches: 3000
Epoch 018/30 | LR 1.74e-03 | MSE 0.002108 | Batches: 3000
Epoch 019/30 | LR 1.37e-03 | MSE 0.002106 | Batches: 3000
Epoch 020/30 | LR 1.08e-03 | MSE 0.002106 | Batches: 3000
Epoch 021/30 | LR 8.53e-04 | MSE 0.002109 | Batches: 3000
Epoch 022/30 | LR 6.72e-04 | MSE 0.002103 | Batches: 3000
Epoch 023/30 | LR 5.30e-04 | MSE 0.002106 | Batches: 3000
Epoch 024/30 | LR 4.18e-04 | MSE 0.002105 | Batches: 3000
Epoch 025/30 | LR 3.29e-04 | MSE 0.002104 | Batches: 3000
Epoch 026/30 | LR 2.59e-04 | MSE 0.002100 | Batches: 3000
Epoch 027/30 | LR 2.04e-04 | MSE 0.002102 | Batches: 3000
Epoch 028/30 | LR 1.61e-04 | MSE 0.002103 | Batches: 3000
Epoch 029/30 | LR 1.27e-04 | MSE 0.002101 | Batches: 3000
Epoch 030/30 | LR 1.00e-04 | MSE 0.002099 | Batches: 3000
