Loading training files from: .\data\Train400\
Found 400 training files
Created dataset with 204800 samples (DnCNN-S: 204,800 patches)
Using device: cuda
Starting training...
 0/30 [00:00<?, ?it/s]Epoch 001/30 | LR 1.00e-01 | MSE 0.015103 | Batches: 1600
 1/30 [05:05<2:27:44, 305.68s/it]Epoch 002/30 | LR 7.88e-02 | MSE 0.003274 | Batches: 1600
 2/30 [10:05<2:21:02, 302.22s/it]Epoch 003/30 | LR 6.21e-02 | MSE 0.002813 | Batches: 1600
 3/30 [15:13<2:17:16, 305.04s/it]Epoch 004/30 | LR 4.89e-02 | MSE 0.002530 | Batches: 1600
 4/30 [20:30<2:14:12, 309.71s/it]Epoch 005/30 | LR 3.86e-02 | MSE 0.002378 | Batches: 1600
 5/30 [25:43<2:09:34, 310.96s/it]Epoch 006/30 | LR 3.04e-02 | MSE 0.002287 | Batches: 1600
 6/30 [30:51<2:03:58, 309.95s/it]Epoch 007/30 | LR 2.40e-02 | MSE 0.002233 | Batches: 1600
 7/30 [36:08<1:59:35, 311.96s/it]Epoch 008/30 | LR 1.89e-02 | MSE 0.002198 | Batches: 1600
 8/30 [41:22<1:54:38, 312.64s/it]Epoch 009/30 | LR 1.49e-02 | MSE 0.002173 | Batches: 1600
 9/30 [46:33<1:49:16, 312.22s/it]Epoch 010/30 | LR 1.17e-02 | MSE 0.002160 | Batches: 1600
10/30 [51:47<1:44:13, 312.69s/it]Epoch 011/30 | LR 9.24e-03 | MSE 0.002141 | Batches: 1600
11/30 [57:00<1:39:07, 313.01s/it]Epoch 012/30 | LR 7.28e-03 | MSE 0.002131 | Batches: 1600
12/30 [1:02:14<1:33:59, 313.31s/it]Epoch 013/30 | LR 5.74e-03 | MSE 0.002120 | Batches: 1600
13/30 [1:07:28<1:28:48, 313.42s/it]Epoch 014/30 | LR 4.52e-03 | MSE 0.002115 | Batches: 1600
14/30 [1:12:40<1:23:25, 312.86s/it]Epoch 015/30 | LR 3.56e-03 | MSE 0.002112 | Batches: 1600
15/30 [1:17:51<1:18:07, 312.48s/it]Epoch 016/30 | LR 2.81e-03 | MSE 0.002104 | Batches: 1600
16/30 [1:23:03<1:12:50, 312.21s/it]Epoch 017/30 | LR 2.21e-03 | MSE 0.002102 | Batches: 1600
17/30 [1:28:14<1:07:35, 311.98s/it]Epoch 018/30 | LR 1.74e-03 | MSE 0.002098 | Batches: 1600
18/30 [1:33:26<1:02:22, 311.85s/it]Epoch 019/30 | LR 1.37e-03 | MSE 0.002105 | Batches: 1600
19/30 [1:38:37<57:09, 311.73s/it]Epoch 020/30 | LR 1.08e-03 | MSE 0.002097 | Batches: 1600
20/30 [1:43:49<51:56, 311.65s/it]Epoch 021/30 | LR 8.53e-04 | MSE 0.002093 | Batches: 1600
21/30 [1:49:00<46:44, 311.66s/it]Epoch 022/30 | LR 6.72e-04 | MSE 0.002092 | Batches: 1600
22/30 [1:54:12<41:32, 311.58s/it]Epoch 023/30 | LR 5.30e-04 | MSE 0.002095 | Batches: 1600
23/30 [1:59:23<36:20, 311.48s/it]Epoch 024/30 | LR 4.18e-04 | MSE 0.002090 | Batches: 1600
24/30 [2:04:35<31:09, 311.51s/it]Epoch 025/30 | LR 3.29e-04 | MSE 0.002095 | Batches: 1600
25/30 [2:09:46<25:57, 311.57s/it]Epoch 026/30 | LR 2.59e-04 | MSE 0.002095 | Batches: 1600
26/30 [2:14:58<20:45, 311.47s/it]Epoch 027/30 | LR 2.04e-04 | MSE 0.002091 | Batches: 1600
27/30 [2:20:09<15:34, 311.41s/it]Epoch 028/30 | LR 1.61e-04 | MSE 0.002087 | Batches: 1600
28/30 [2:25:21<10:23, 311.52s/it]Epoch 029/30 | LR 1.27e-04 | MSE 0.002092 | Batches: 1600
29/30 [2:30:32<05:11, 311.54s/it]Epoch 030/30 | LR 1.00e-04 | MSE 0.002087 | Batches: 1600
30/30 [2:35:44<00:00, 311.48s/it]
Saved: dncnn_S_sigma25.pt
