# log for DnCNN-S - 50 epochs

Loading training files from: data/Train400
Found 400 training files
Created dataset with 204800 samples (DnCNN-S: 204,800 patches)
Using device: cuda
Starting training...
Epoch 001/50 | LR 1.00e-01 | MSE 0.013369 | PSNR_in 20.17 | PSNR_out 22.54 | Batches: 1600
Epoch 002/50 | LR 8.69e-02 | MSE 0.003223 | PSNR_in 20.17 | PSNR_out 24.93 | Batches: 1600
Epoch 003/50 | LR 7.54e-02 | MSE 0.002691 | PSNR_in 20.17 | PSNR_out 25.71 | Batches: 1600
Epoch 004/50 | LR 6.55e-02 | MSE 0.002413 | PSNR_in 20.17 | PSNR_out 26.18 | Batches: 1600
Epoch 005/50 | LR 5.69e-02 | MSE 0.002263 | PSNR_in 20.17 | PSNR_out 26.46 | Batches: 1600
Epoch 006/50 | LR 4.94e-02 | MSE 0.002174 | PSNR_in 20.17 | PSNR_out 26.63 | Batches: 1600
Epoch 007/50 | LR 4.29e-02 | MSE 0.002120 | PSNR_in 20.17 | PSNR_out 26.74 | Batches: 1600
Epoch 008/50 | LR 3.73e-02 | MSE 0.002081 | PSNR_in 20.17 | PSNR_out 26.82 | Batches: 1600
Epoch 009/50 | LR 3.24e-02 | MSE 0.002045 | PSNR_in 20.17 | PSNR_out 26.90 | Batches: 1600
Epoch 010/50 | LR 2.81e-02 | MSE 0.002021 | PSNR_in 20.17 | PSNR_out 26.95 | Batches: 1600
Epoch 011/50 | LR 2.44e-02 | MSE 0.002001 | PSNR_in 20.17 | PSNR_out 26.99 | Batches: 1600
Epoch 012/50 | LR 2.12e-02 | MSE 0.001986 | PSNR_in 20.17 | PSNR_out 27.03 | Batches: 1600
Epoch 013/50 | LR 1.84e-02 | MSE 0.001974 | PSNR_in 20.17 | PSNR_out 27.05 | Batches: 1600
Epoch 014/50 | LR 1.60e-02 | MSE 0.001961 | PSNR_in 20.17 | PSNR_out 27.08 | Batches: 1600
Epoch 015/50 | LR 1.39e-02 | MSE 0.001950 | PSNR_in 20.17 | PSNR_out 27.11 | Batches: 1600
